start_time,architecture,dataset,input_size,batch_size,return_code
2023-11-23 19:52:16,inception_v3,stanford_dogs,224,32,0
2023-11-23 20:55:14,inception_v3,stanford_dogs,128,256,0
2023-11-23 21:10:36,inception_v3,caltech101,224,256,0
2023-11-23 21:29:42,inception_v3,caltech101,64,32,0
2023-11-23 21:39:52,inception_v3,caltech101,224,64,0
2023-11-23 22:05:34,inception_v3,stanford_dogs,64,64,0
2023-11-23 22:17:43,inception_v3,stanford_dogs,64,32,0
2023-11-23 22:34:26,inception_v3,caltech101,128,64,0
2023-11-23 22:46:34,inception_v3,caltech101,224,64,0
2023-11-23 23:11:10,inception_v3,stanford_dogs,224,64,0
2023-11-24 00:06:03,inception_v3,caltech101,224,32,0
2023-11-24 00:39:11,inception_v3,stanford_dogs,128,64,0
2023-11-24 01:00:09,inception_v3,caltech101,128,256,0
2023-11-24 01:10:27,inception_v3,stanford_dogs,64,256,0
2023-11-24 01:19:44,inception_v3,caltech101,64,64,0
2023-11-24 01:28:08,inception_v3,stanford_dogs,224,256,0
2023-11-24 02:12:41,inception_v3,caltech101,128,256,0
2023-11-24 02:22:32,inception_v3,caltech101,224,32,0
2023-11-24 02:52:25,inception_v3,caltech101,224,256,0
2023-11-24 03:11:30,inception_v3,stanford_dogs,64,256,0
2023-11-24 03:20:45,inception_v3,stanford_dogs,64,32,0
2023-11-24 03:37:38,inception_v3,stanford_dogs,128,32,0
2023-11-24 04:03:39,inception_v3,caltech101,224,256,0
2023-11-24 04:22:48,inception_v3,stanford_dogs,224,256,0
2023-11-24 05:02:06,inception_v3,stanford_dogs,224,32,0
2023-11-24 06:05:28,inception_v3,stanford_dogs,224,256,0
2023-11-24 06:43:26,inception_v3,caltech101,64,32,0
2023-11-24 06:53:12,inception_v3,stanford_dogs,128,64,0
2023-11-24 07:13:46,inception_v3,stanford_dogs,224,64,0
2023-11-24 08:00:00,inception_v3,caltech101,224,256,0
2023-11-24 08:19:09,inception_v3,stanford_dogs,64,256,0
2023-11-24 08:28:27,inception_v3,stanford_dogs,64,32,0
2023-11-24 08:45:09,inception_v3,caltech101,64,256,0
2023-11-24 08:52:22,inception_v3,stanford_dogs,224,64,0
2023-11-24 09:41:08,inception_v3,stanford_dogs,64,32,0
2023-11-24 09:57:22,inception_v3,stanford_dogs,128,64,0
2023-11-24 10:17:46,inception_v3,stanford_dogs,224,256,0
2023-11-24 10:58:52,inception_v3,caltech101,224,64,0
2023-11-24 11:22:25,inception_v3,stanford_dogs,128,64,0
2023-11-24 11:41:20,inception_v3,caltech101,64,32,0
2023-11-24 11:51:28,inception_v3,caltech101,128,256,0
2023-11-24 12:01:07,inception_v3,stanford_dogs,224,32,0
2023-11-24 13:00:17,inception_v3,stanford_dogs,128,256,0
2023-11-24 13:15:40,inception_v3,caltech101,224,256,0
2023-11-24 13:35:11,inception_v3,caltech101,64,32,0
2023-11-24 13:45:37,inception_v3,caltech101,64,32,0
2023-11-24 13:56:01,inception_v3,caltech101,224,64,0
2023-11-24 14:20:26,inception_v3,caltech101,64,64,0
2023-11-24 14:28:48,inception_v3,caltech101,64,32,0
2023-11-24 14:39:20,inception_v3,caltech101,64,32,0
2023-11-24 14:49:34,inception_v3,stanford_dogs,128,64,0
2023-11-24 15:08:34,inception_v3,stanford_dogs,64,64,0
2023-11-24 15:20:43,inception_v3,caltech101,224,256,0
2023-11-24 15:39:50,inception_v3,stanford_dogs,64,256,0
2023-11-24 15:49:06,inception_v3,stanford_dogs,64,32,0
2023-11-24 16:05:29,inception_v3,stanford_dogs,224,64,0
2023-11-24 16:51:37,inception_v3,stanford_dogs,64,256,0
2023-11-24 17:00:56,inception_v3,stanford_dogs,224,256,0
2023-11-24 17:39:04,inception_v3,stanford_dogs,224,256,0
2023-11-24 18:19:30,inception_v3,stanford_dogs,128,32,0
2023-11-24 18:43:58,inception_v3,caltech101,128,64,0
2023-11-24 18:55:04,inception_v3,stanford_dogs,128,64,0
2023-11-24 19:15:20,inception_v3,caltech101,64,32,0
2023-11-24 19:25:05,inception_v3,stanford_dogs,64,32,0
2023-11-24 19:41:30,inception_v3,stanford_dogs,224,256,0
2023-11-24 20:19:35,inception_v3,stanford_dogs,224,256,0
2023-11-24 20:57:31,inception_v3,stanford_dogs,128,256,0
2023-11-24 21:12:53,inception_v3,stanford_dogs,128,64,0
2023-11-24 21:32:39,inception_v3,stanford_dogs,64,64,0
2023-11-24 21:45:52,inception_v3,caltech101,64,32,0
2023-11-24 21:56:00,inception_v3,stanford_dogs,128,64,0
2023-11-24 22:16:37,inception_v3,caltech101,128,32,0
2023-11-24 22:30:55,inception_v3,caltech101,224,64,0
2023-11-24 22:53:10,inception_v3,stanford_dogs,128,64,0
2023-11-24 23:12:08,inception_v3,stanford_dogs,64,32,0
2023-11-24 23:28:07,inception_v3,stanford_dogs,128,64,0
2023-11-24 23:47:54,inception_v3,stanford_dogs,128,32,0
2023-11-25 00:11:55,inception_v3,stanford_dogs,64,256,0
2023-11-25 00:21:12,inception_v3,caltech101,64,256,0
2023-11-25 00:28:24,inception_v3,stanford_dogs,64,256,0
2023-11-25 00:37:41,inception_v3,caltech101,128,64,0
2023-11-25 00:48:50,inception_v3,stanford_dogs,224,32,0
2023-11-25 01:51:12,inception_v3,caltech101,128,32,0
2023-11-25 02:04:34,inception_v3,caltech101,128,64,0
2023-11-25 02:16:05,inception_v3,caltech101,224,64,0
2023-11-25 02:40:59,inception_v3,caltech101,224,64,0
2023-11-25 03:03:14,inception_v3,stanford_dogs,64,256,0
2023-11-25 03:12:32,inception_v3,stanford_dogs,224,32,0
2023-11-25 04:09:24,inception_v3,stanford_dogs,224,32,0
2023-11-25 05:08:47,inception_v3,stanford_dogs,128,64,0
2023-11-25 05:27:37,inception_v3,caltech101,64,32,0
2023-11-25 05:37:56,inception_v3,stanford_dogs,224,64,0
2023-11-25 06:26:30,inception_v3,stanford_dogs,128,32,0
2023-11-25 06:53:44,inception_v3,caltech101,128,32,0
2023-11-25 07:08:25,inception_v3,caltech101,224,64,0
2023-11-25 07:31:42,inception_v3,stanford_dogs,224,256,0
2023-11-25 08:09:40,inception_v3,caltech101,224,64,0
2023-11-25 08:31:55,inception_v3,stanford_dogs,64,32,0
2023-11-25 08:47:57,inception_v3,stanford_dogs,128,64,0
2023-11-25 09:07:28,inception_v3,stanford_dogs,64,64,0
2023-11-25 09:19:32,inception_v3,caltech101,224,256,0
2023-11-25 09:38:40,inception_v3,stanford_dogs,224,32,0
2023-11-25 10:38:04,inception_v3,stanford_dogs,224,64,0
2023-11-25 11:34:54,inception_v3,stanford_dogs,224,256,0
2023-11-25 12:17:19,inception_v3,stanford_dogs,128,32,0
2023-11-25 12:43:27,inception_v3,stanford_dogs,128,32,0
2023-11-25 13:10:00,inception_v3,stanford_dogs,224,64,0
2023-11-25 14:00:26,inception_v3,caltech101,128,256,0
2023-11-25 14:10:17,inception_v3,stanford_dogs,128,32,0
2023-11-25 14:35:27,inception_v3,caltech101,64,64,0
2023-11-25 14:43:53,inception_v3,caltech101,64,256,0
2023-11-25 14:51:05,inception_v3,stanford_dogs,224,256,0
2023-11-25 15:29:05,inception_v3,stanford_dogs,64,32,0
2023-11-25 15:45:56,inception_v3,stanford_dogs,64,64,0
2023-11-25 15:58:15,inception_v3,caltech101,128,32,0
2023-11-25 16:11:40,inception_v3,caltech101,64,64,0
2023-11-25 16:20:06,inception_v3,stanford_dogs,128,64,0
2023-11-25 16:39:00,inception_v3,stanford_dogs,224,256,0
2023-11-25 17:20:19,inception_v3,caltech101,224,64,0
2023-11-25 17:47:08,inception_v3,caltech101,64,64,0
2023-11-25 17:55:33,inception_v3,stanford_dogs,224,32,0
2023-11-25 18:53:38,inception_v3,stanford_dogs,128,64,0
2023-11-25 19:12:32,inception_v3,stanford_dogs,224,64,0
2023-11-25 19:58:41,inception_v3,caltech101,64,32,0
2023-11-25 20:09:05,inception_v3,stanford_dogs,64,64,0
2023-11-25 20:21:17,inception_v3,stanford_dogs,128,64,0
